id,ra,dec,d,d_err,vr,vt,m_abs,bp-rp,l,b,pmra,pmdec
2.02E+18,353.1817608,62.58243986,2838.3074,115.2085,-123.126785,-64.26124128,-3.287102147,-0.2382466,114.0103717,1.081988098,-4.887320053,0.1289915795
2.02E+18,353.9239459,61.85385477,2715.7178,130.9377,-102.13724,-21.12454917,-2.626284194,-0.240695,114.126596,0.2838762617,-1.469892141,-1.378137747
2.02E+18,354.3914827,61.66976649,3238.643,116.9355,-61.177708,-16.32763095,-2.626771389,-0.247057,114.2860746,0.04431777999,-0.3785397493,-1.033651344
2.02E+18,353.4058114,62.28786586,2821.5305,234.7146,-92.790054,-12.93417463,-2.151748746,-0.2328777,114.0215315,0.7699006779,-1.073812116,-0.1183536487
4.29E+17,1.012264792,60.84583862,2891.5525,415.0662,-51.018326,-33.38948178,-3.25503241,-0.28288454,117.1898941,-1.496497164,-2.543684861,-1.968799047
2.02E+18,352.9732803,62.86142745,2584.485,218.917,-50.6981,-15.56882264,-2.09969808,-0.2397456,114.0033141,1.376799209,-0.272622334,-1.195772502
2.02E+18,353.0582444,62.89364315,3013.7957,508.5217,-45.291,-36.8450456,-2.454333545,-0.2408505,114.0499869,1.395803043,-1.87972988,-1.635389653
2.02E+18,352.9815491,62.96624816,3023.5815,46.394,-85.10435,-30.63764107,-2.681536397,-0.2364893,114.0386494,1.475560239,-1.639070978,-1.368670997
2.02E+18,353.3611459,63.07191855,3366.9668,46.2702,-70.74129,-33.66678122,-2.95069017,-0.2642307,114.2347024,1.524709161,-2.14020179,-0.2384309709
2.02E+18,353.3679492,63.10759027,2807.0818,216.0798,-117.20492,-36.12052111,-2.426334342,-0.2433719,114.248246,1.557855121,-2.308595295,-1.428545088
2.02E+18,354.0309082,63.17098844,3267.0918,46.889,-91.19738,-34.66672224,-3.277138688,-0.244954,114.5533475,1.530958112,-2.287125679,-0.5317173781
2.02E+18,354.5602817,63.50463478,2674.2544,158.0637,-69.098915,-47.43644227,-2.096702595,-0.2447225,114.8758576,1.783583752,-3.824233363,-2.084824911
2.02E+18,355.3171845,62.97224321,2795.583,382.8672,-49.689934,-4.464709358,-2.247535954,-0.2433438,115.057853,1.178203544,-0.2903441264,0.1240331452
2.02E+18,356.5148237,63.46318315,2843.376,190.522,-78.723175,-30.90636395,-2.156622467,-0.2369709,115.7065664,1.512307895,-2.653022079,0.5495412188
2.02E+18,353.4633994,62.81038774,2662.012,117.6171,-54.810753,-63.17392561,-2.668695044,-0.2458473,114.2016005,1.261143341,-4.481517695,-2.027002026
2.02E+18,354.8757826,63.36733219,2767.336,327.8023,-82.32156,-15.28558436,-2.423994464,-0.2240352,114.9733966,1.612548448,-1.23720234,-0.3572222065
2.02E+18,355.6657577,62.42912815,2763.4785,219.8266,-75.08774,-29.0599137,-1.85017845,-0.2262,115.0676699,0.6121351913,-2.14102359,-0.8393480187
2.02E+18,359.7805158,63.40184686,2646.4514,1254.7202,-55.935516,-51.89680284,-0.5332966146,-0.2360752,117.1156973,1.122415165,-3.197167382,-1.273110848
2.02E+18,359.1793022,63.53318369,2729.0234,161.8377,-32.41384,-26.79975258,-1.702801298,-0.19941594,116.8798935,1.306255583,-2.197645209,-1.089698395
2.01E+18,356.7137497,61.73484087,2679.193,344.0102,0,0,-0.3863599992,-0.432299,115.3648381,-0.1843907971,-1.922214309,0.1784108535
2.01E+18,358.4057135,61.5120161,2532.8823,246.7278,0,0,-0.6126580456,-0.2368271,116.0941504,-0.5898052016,-1.136888304,0.1795733634
2.01E+18,355.0886006,61.56816365,3173.3748,1555.7746,0,0,-0.07968684326,-0.2109168,114.5763689,-0.1450301712,-0.590942631,-0.942616246
2.01E+18,355.5037766,61.9071437,2707.2314,290.5071,0,0,-0.2981768929,-0.2616312,114.8567728,0.1286984732,-3.372906067,-1.111447625
2.01E+18,354.7827315,61.68010031,3121.4622,136.8757,0,0,-1.697528401,-0.2527616,114.4672213,0.002440596671,-0.7272331221,-0.7052422828
2.01E+18,356.6558272,62.11924019,2614.1357,302.6154,0,0,-0.3863536405,-0.231893,115.4337321,0.1947654092,-2.011063213,-0.1565210659
2.01E+18,357.8000632,61.92607579,2766.6252,294.7392,0,0,-0.2328666421,-0.2224637,115.9085291,-0.1214785881,-1.163102779,-1.071153344
2.01E+18,357.385052,61.54891015,2733.121,387.9428,0,0,-0.03102029544,-0.2517261,115.629097,-0.4420861798,-1.901472212,-0.1197047977
2.01E+18,356.0101426,61.56159214,2516.7332,235.6862,0,0,-0.3688458912,-0.2410322,114.9977673,-0.2675662755,-2.905458077,-1.559247054
2.01E+18,357.8971392,60.95563887,2742.429,188.7293,0,0,-0.4986779637,-0.2265688,115.7299663,-1.076476252,-1.726879304,-0.9212762082
2.01E+18,357.9983219,60.96846412,2875.0513,241.199,0,0,-0.1195779914,-0.2371032,115.7807201,-1.075241909,-0.7074261073,0.2562176402
2.01E+18,356.6246409,60.0652958,2931.376,21.6653,0,0,-1.449585639,-0.2257056,114.9083968,-1.790938128,-1.074374399,-0.8455853478
2.02E+18,354.7884292,62.80272933,2577.453,2041.5087,0,0,-0.5967537732,-0.1902892,114.7797811,1.080689601,0.07488883109,-0.7693377505
2.02E+18,354.3617039,61.72109827,2887.3997,283.3697,0,0,-0.4651075351,-0.238484,114.2870114,0.09754788551,-1.657356857,-0.8810038324
2.02E+18,359.8060578,63.40888103,2615.7493,388.0978,0,0,-0.1823105888,-0.2532706,117.1283159,1.1270043,-0.9504573345,-0.2327798034
